1	13	N3I	ASF	13570	σεμίδαλιν	σεμιδαλιν	σεμιδαλιν	σεμίδαλις			,	SEMI/DALIN	SEMI/DALIS
1	13	A1A	ASN	17667	μάταιον	ματαιον	ματαιον	μάταιος			·	MA/TAION	MA/TAIOS
1	13	N3M	ASN	17666	θυμίαμα	θυμιαμα	θυμιαμα	θυμίαμα				QUMI/AMA	QUMI/AMA
1	13	N3M	NSN	17538	βδέλυγμά	βδελυγμα	βδελυγμα	βδέλυγμα				BDE/LUGMA/	BDE/LUGMA
1	13	RP	DS	13	μοί	μοι	μοι	μοι				MOI/	E)GW/
1	13	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί			·	E)STIN	EI)MI/
1	13	RA	APF	10	τὰς	τας	τας	ὁ				TA\S	O(
1	13	N1A	APF	14082	νουμηνίας	νουμηνιας	νουμηνιας	νουμηνία				NOUMHNI/AS	NOUMHNI/A
1	13	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν				U(MW=N	SU/
1	13	C		4	καὶ	και	και	καί				KAI\	KAI/
1	13	RA	NPN	10	τὰ	τα	τα	ὁ				TA\	O(
1	13	N2N	NPN	18050	σάββατα	σαββατα	σαββατα	σάββατον				SA/BBATA	SA/BBATON
1	13	C		4	καὶ	και	και	καί				KAI\	KAI/
1	13	N1A	ASF	13570	ἡμέραν	ἡμεραν	ημεραν	ἡμέρα				H(ME/RAN	H(ME/RA
1	13	A1	ASF	13571	μεγάλην	μεγαλην	μεγαλην	μέγας				MEGA/LHN	ME/GAS
1	13	D		9	οὐκ	οὐκ	ουκ	οὐ				OU)K	OU)
1	13	V1	PMI1S	603265	ἀνέχομαι	ἀνεχομαι	ανεχομαι	ἀνέχω			·	A)NE/XOMAI	E)/XW            A)NA
1	13	N1A	ASF	13570	νηστείαν	νηστειαν	νηστειαν	νηστεία				NHSTEI/AN	NHSTEI/A
1	13	C		4	καὶ	και	και	καί				KAI\	KAI/
1	13	N1A	ASF	13570	ἀργίαν	ἀργιαν	αργιαν	ἀργία				A)RGI/AN	A)RGI/A
1	14	C		4	καὶ	και	και	καί				KAI\	KAI/
1	14	RA	APF	10	τὰς	τας	τας	ὁ				TA\S	O(
1	14	N1A	APF	14082	νουμηνίας	νουμηνιας	νουμηνιας	νουμηνία				NOUMHNI/AS	NOUMHNI/A
1	14	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν				U(MW=N	SU/
1	14	C		4	καὶ	και	και	καί				KAI\	KAI/
1	14	RA	APF	10	τὰς	τας	τας	ὁ				TA\S	O(
1	14	N1	APF	14082	ἑορτὰς	ἑορτας	εορτας	ἑορτή				E(ORTA\S	E(ORTH/
1	14	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν				U(MW=N	SU/
